EventTemplate,Occurrences
<*> <*> <*> <*> <*> <*> = <*>.<*> ,3
DisplayPowerController updatePowerState mPendingRequestLocked=policy=OFF, useProximitySensor=false, useProximitySensorbyPhone=true, screenBrightness=<*>, screenAutoBrightnessAdjustment=<*>.<*>, brightnessSetByUser=true, useAutoBrightness=true, blockScreenOn=false, lowPowerMode=false, boostScreenBrightness=false, dozeScreenBrightness=<*>, dozeScreenState=UNKNOWN, useTwilight=false, useSmartBacklight=true, brightnessWaitMode=false, brightnessWaitRet=true, screenAutoBrightness=<*>, userId=<*> ,4
[UploadReceiver.onReceive] netType=<*> ,1
release:lock=<*>, flg=0x0, <*> name=android", ws=null, uid=<*>, pid=<*> ,30
notifyUiVisibilityChanged:vis=0x40000500, SystemUiVisibility=0x<*> ,1
<*> TcpCirChannel.shutdown(TcpCirChannel.java:<*>) Login_By_Step-> shut down now connect ,3
updateCallLayout:isBackground=false, isInteractive=false ,2
mIsScreenOn is: <*> WAKEUP alarm trigger action = <*> package name is: <*> ,1
3e8n7PVvTe8HaG5vqIBVsLqoGVW9nn2ZzSAqox9Z49EYCl5D7g17j1U1T1IulR1fJdlS0GYySJNU ,1
<*> <*> <*> <*> action = <*> ,2
<<*>-<*>-<*> <*>:<*>:<*>> [NOTICE] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> <*> <*> <*> <*> <*> ,2
<*> <*> <*> id <*> <*> <*> <*> <*> due to no <*> <*> <*> ,1
<*> action = <*> ,17
bssid=<*>:c3:<*>:<*>:4d:d6;freq=<*>;level=<*>;flags=<*>;ssid=SD; ,1
[<*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>] ,9
<*> <*> <*> = <*>.<*> ,2
activate called handle:<*> enable:<*> ,4
cancelNotification ,2
<*> <*> V.ED..... ......ID <*>,<*>-<*>,<*> #7f1401be app:id/battery_outside_percent} ,2
action:com.tencent.mm.ACTION.note_tracemsg_unlock, mPermissionType:<*> ,1
cleanUpApplicationRecordLocked, pid: <*>, restart: false ,13
Final value: x_offset=<*>.<*>, y_offset=<*>.<*>, z_offset=<*>.<*> ,3
<*> is not <*> <*> <*> <*> <*> <*> <*> ,3
onNotificationExpansionChanged called ,26
InCallPresenter - <*> state = <*> ,3
dispatch ordered broadcast <*> <*> <*> <*> has <*> receivers ,28
CTRL_IFACE: GET_NETWORK id=<*> <*> ,22
action:com.huawei.android.action.action_home_city_weather, mPermissionType:<*> ,1
getCurrentCellid PHONE_TYPE_GSM cellidString = <*> ,16
collectReceiverComponents, callerApp: <*> <*> <*> receiver size:<*>, flags: <*> ,52
playingUids: ,6
<*> user=UserHandle{<*>} id=<*> tag=null key=<*>|com.huawei.health|<*>|null|<*>: Notification(pri=<*> contentView=null vibrate=null sound=null defaults=0x0 <*> <*> <*> ,2
<*> <*> <*> <*>-<*>-<*> <*> ,1
<<*>-<*>-<*> <*>:<*>:<*>> [ERR] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[ERR] magic[<*> <*>]:FSM_Tool_Tree_Enc_Path <*> <*> <*> ,5
<*> = <*> <*> <*> ,3
<*> <*> loss[<*>]=<*>%, volume=<*> ,5
CTRL_IFACE: Failed to get <*> <*> <*> ,5
ImsServiceSub : StatusForAccessTech networkMode = <*> registered = <*> status = <*> restrictCause = <*> ,2
collectReceiverComponents, callerApp: ProcessRecord{24cdca7 <*>:com.android.phone/<*>}, intent:android.intent.action.LTE_CA_STATE, receiver size:<*>, flags: <*> ,16
notifyListenerHuawei::origin typeIcon:<*> icons.mName:4G isSuspend:false, <*> dataConnected=false, isRoaming=false ,1
onChange selfChange:false uri.toString():content://settings/system/screen_auto_brightness mIsObserveAutoBrightnessChange:true ,53
Split enqueueing broadcast [callerApp]:ProcessRecord{24cdca7 <*>:com.android.phone/<*>} ,38
key: nsp-content-range ,1
remove pxy wl, pid: <*>, uid: <*> from pxy process list. ,1
at java.lang.Thread.run(Thread.java:<*>) ,2
isCarrierConfigEnabled bundle is null ,8
action:android.provider.Telephony.SMS_RECEIVED, mPermissionType:<*> ,1
DisplayPowerController updatePowerState mPendingRequestLocked=policy=BRIGHT, useProximitySensor=true, useProximitySensorbyPhone=true, screenBrightness=<*>, screenAutoBrightnessAdjustment=<*>.<*>, brightnessSetByUser=true, useAutoBrightness=true, blockScreenOn=false, lowPowerMode=false, boostScreenBrightness=false, dozeScreenBrightness=<*>, dozeScreenState=UNKNOWN, useTwilight=false, useSmartBacklight=true, brightnessWaitMode=false, brightnessWaitRet=true, screenAutoBrightness=<*>, userId=<*> ,12
<<*>-<*>-<*> <*>:<*>:<*>> [NOTICE] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[NOTICE] magic[<*> <*> udp detect <*> <*> id is <*> id is [<*>]! ,1
notifyListenerHuawei::origin typeIcon:<*> <*> isSuspend:false, showDataIcon=true, dataConnected=true, isRoaming=false ,5
JNI_OnLoad ,2
<*> event due to no window focus: <*> <*> <*> <*> <*> x[<*>]=<*>.<*>, y[<*>]=<*>.<*>, toolType[<*>]=TOOL_TYPE_FINGER, buttonState=<*>, metaState=<*>, flags=0x0, edgeFlags=0x0, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=0x1002 } ,1
RCV <- {<*> <*> <*> <*> <*> <*> <*>} ,1
onExpandingFinished ,2
getRecentTasks: topActivity=ComponentInfo{com.android.browser/com.uc.browser.InnerUCMobile} ,2
<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> * <*> <*> <*> <*> <*> <*> <*> <*> ,2
action:com.qualcomm.intent.action.ACTION_UNSOL_RESPONSE_OEM_HOOK_RAW, mPermissionType:<*> ,29
<*> <*> <*> <*> <*> event x = <*> y = <*> ,1
<*> = <*>, <*> <*> <*> <*> <*> <*> ,1
isMobileDataEnable::dateEnable=false, cotrollerEnable=false ,1
<*> <*> <*> <*> <*> <*> <*> = false ,3
<*> <*> <*> <*> <*> in the <*> <*> ,2
Cancelling event due to no window focus: KeyEvent { action=ACTION_UP, keyCode=KEYCODE_BACK, scanCode=<*>, <*> <*> <*> <*> eventTime=<*>, downTime=<*>, deviceId=<*>, source=0x101 } ,5
write:userId=<*>,mPosBrightness =<*>.<*>,mOffsetBrightness_last=<*>.<*>,mIsUserChange=false,mDeltaNew=<*>.<*>,mStartLuxDefaultBrightness=<*>.16mLastLuxDefaultBrightness=<*>.<*>,mAmLux=<*>.<*> ,1
read from oem info: x_offset=<*>.<*>, y_offset=<*>.<*>, z_offset=<*>.<*> ,1
moveToUploaingDir ,3
<*> <*> <*> <*> <*> = false, <*> = false, <*> = <*> ,1
Dispatching event <*> <*> <*> ,2
<<*>-<*>-<*> <*>:<*>:<*>> [NOTICE] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[NOTICE] magic[<*> <*> <*> <*> <*> <*> id is <*> id is <*> ,1
[ReceiverUtils.launchCheckVersionService] ,2
clear info:clearTimerSharedPref ,1
<*> TcpCirChannel.connect(TcpCirChannel.java:<*>) Connect to server address = <*> port = <*> ,2
keyAppBroadcastQueueForIntent intent Intent { act=com.tencent.mm.ui.ACTION_ACTIVE flg=0x10 (has extras) } on bgkeyapp queue ,4
<*> uid <*> is not <*> ,1
<*> <*> <*> <*> <*> <*> <*> is <*> <*> <*> <*> <*> is <*> ,3
<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*> ,8
<<*>-<*>-<*> <*>:<*>:<*>> [NOTICE] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[NOTICE] magic[<*> <*>]:FSM_Tool_TreatFolderEncEx => [START]: pcFileName [anyofficeuserorgcode] ,12
logUploadRequest start ,1
bh1745-light calling driver setDelay <*> ms ,3
onError(<*>) ,4
<*> <*> V.ED..... ........ <*>,<*>-<*>,<*> <*> <*> ,1
ready=true,policy=<*>,wakefulness=<*>,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*> ,2
bssid=<*>:<*>:bc:0b:<*>:a1;freq=<*>;level=<*>;flags=<*>;ssid=Huawei-Employee; ,1
<*> <*> <*> <*> <*> <*> screenAutoBrightnessAdjustment=<*>.<*>, brightnessSetByUser=true, useAutoBrightness=true, blockScreenOn=false, lowPowerMode=false, boostScreenBrightness=false, dozeScreenBrightness=<*>, dozeScreenState=UNKNOWN, <*> <*> <*> <*> <*> <*> ,2
p2p0: CTRL-EVENT-TERMINATING ,1
CTRL_IFACE: <*> <*> <*> ,5
<*> <*> V.ED..... ........ <*>,<*>-<*>,<*> <*> app:id/battery_outside_percent} ,3
<*> <*> <*> is not in the <*> <*> <*> ,1
ready=true,policy=<*>,wakefulness=<*>,wksummary=0x3b,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=true,manual=<*>,auto=<*>,adj=<*>.0userId=<*> ,1
<*> <*> is null <*> <*> <*> ,8
NumTracks(<*>) ,2
<<*>-<*>-<*> <*>:<*>:<*>> [NOTICE] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[NOTICE] magic[<*> <*> <*> <*> <*> <*> <*> third party <*> <*> ,5
getRecentTasks: topActivity=ComponentInfo{com.android.mms/com.android.mms.ui.ConversationList} ,1
<*> calling driver <*> ,1
setRequest ProviderRequest[OFF] ,10
ImsSenderRxr : Response data: [<*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>, <*>][SUB0] ,21
setColorTemperatureAccordingToSetting ,20
<*> is called ,1
[PhoneIntfMgr] <*> <*> <*> ,5
<<*>-<*>-<*> <*>:<*>:<*>> [NOTICE] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[NOTICE] magic[<*> <*> <*> <*> to open <*> due to <*> <*> <*> <*> = <*> is <*> <*> <*> <*> ,5
at java.net.AbstractPlainSocketImpl.doConnect(AbstractPlainSocketImpl.java:<*>) ,4
<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> = <*> <*> <*> ,6
wfyvHx2zDFsvDbHBrsjsHbKOpozMelwwUtWRPzfptxFRrpVkYt3DE5J7QCZkQZTTSsjSfg2Z0g6f ,1
dumpTrace::setTracingEnabled: false ,2
<*> is null ,7
handle_exception_events enter ,63
Calling fingersense_touch_up() ,118
<*> <*> <*> = <*> <*> = <*> <*> <*> <*> ,1
onTouchEvent: code=<*>, action=<*>, <*> <*> <*> actionButton=<*>, id[<*>]=<*>, x[<*>]=<*>.<*>, y[<*>]=<*>.<*>, toolType[<*>]=TOOL_TYPE_FINGER, buttonState=<*>, metaState=<*>, flags=0x0, edgeFlags=0x0, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=0x1002 } ,2
playSoundEffect effectType: <*> ,5
VideoCallPresenter - <*> <*> <*> <*> <*> <*> <*> <*> <*> CAPABILITY_MUTE CAPABILITY_CANNOT_DOWNGRADE_VIDEO_TO_AUDIO], children:[], parent:null, conferenceable:[], videoState:Audio Only, <*> <*> <*> ,1
<*> enter: <*> ,1
<*> <*> <*> <*> <*> <*> <*> --> <*> <*> --> <*> <*> --> <*> <*> --> <*> <*> --> <*> <*> <*> <*> ,7
<*> <*> <*> = <*>, <*> = <*>, <*> = <*> ,6
action:com.tencent.mm.ACTION.note_tracemsg_lock, mPermissionType:<*> ,5
DisplayPowerController updatePowerState mPendingRequestLocked=policy=BRIGHT, <*> useProximitySensorbyPhone=true, screenBrightness=<*>, screenAutoBrightnessAdjustment=<*>.<*>, brightnessSetByUser=true, useAutoBrightness=true, blockScreenOn=false, lowPowerMode=false, boostScreenBrightness=false, dozeScreenBrightness=<*>, dozeScreenState=UNKNOWN, useTwilight=false, useSmartBacklight=true, brightnessWaitMode=false, brightnessWaitRet=true, screenAutoBrightness=<*>, userId=<*> ,5
ACTION_BATTERY_CHANGED AMP: <*>; Volt: <*> ,11
<*> <*> <*> id = <*> ,1
InitCupidEpisode() ,1
getResourceName: resourceName:ORDEREDBROADCAST ,1
setOverlap mOverlap:false, mDimmed:false ,3
action:android.media.STREAM_DEVICES_CHANGED_ACTION, mPermissionType:<*> ,1
<*> <*> <*> <*> <*> <*> pid: <*> ,7
action:android.scroff.ctrlsocket.status, mPermissionType:<*> ,1
ImsServiceSub : <*> <*> = true <*> <*> = false ,1
<*> subId=<*> retVal=true ,3
DialpadFragment mBroadcastReceiver <*> ,3
4G, isCAState=false ,5
MainActivity_stop_tokennull ,1
onEntryRemoved:<*>|com.huawei.systemmanager|<*>|null|<*> ,1
isWiredHeadsetOn... ,45
KGSvcFp onAuthenticationError.<*> ,1
mStatsXtProcUid: /proc/net/comm/stats does not exist! ,10
notifyUiVisibilityChanged:vis=0x8308, SystemUiVisibility=0x<*> ,1
PowerManagerNotifier onWakefulnessChangeStarted: wakefulness=<*>, <*> <*> <*> <*> ,2
mExtDataOld:ExtData [mMasterNetWorkType=<*>, mSlaveNetWorkType=<*>, mMasterNetWorkLevel=<*>, mSlaveNetWorkLevel=<*>, mDataState=<*>, mDataActivity=<*>, mDataNetType=<*>] mExtData:ExtData [mMasterNetWorkType=<*>, mSlaveNetWorkType=<*>, mMasterNetWorkLevel=<*>, mSlaveNetWorkLevel=<*>, mDataState=<*>, mDataActivity=<*>, mDataNetType=<*>] ,91
getRecentTasks: topActivity=ComponentInfo{com.huawei.intelligent/com.huawei.intelligent.main.TodoActivity} ,1
StatusBarNotifier - <*> = false ,2
mManualAmbientLux =<*>,mNeedUpdateManualBrightness1=true ,1
at com.huawei.systemmanager.rainbow.db.CloudDBAdapter.applyDefaultPolicy(CloudDBAdapter.java:<*>) ,1
ZHYE8GIq1kP5rI9puUz0FkD1KqWoi86PgQJNLVCZt/fKXuBxMPh3kwR04xAB6QaWh+R0HAy9eKLq ,1
sub =<*>,strMccMnc =null,hashMccMnc =[],strPlmn =hw_show_4g ,143
Rac Change (PDC) data: [<*>, <*>] ,44
ImsSenderRxr : <*> <*> ,2
<<*>-<*>-<*> <*>:<*>:<*>> [ERR] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[ERR] magic[<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,5
at org.json.JSONObject.<init>(JSONObject.java:<*>) ,3
<*> <*> is null <*> ,8
bssid=<*>:<*>:bc:0b:<*>:e1;freq=<*>;level=<*>;flags=<*>;ssid=Huawei-Employee; ,2
at com.huawei.android.chr.qcom.QcomModemInfoCollector.getHardWareVersion(QcomModemInfoCollector.java:<*>) ,3
ready=true,policy=<*>,wakefulness=<*>,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=true,mode=true,manual=<*>,auto=<*>,adj=<*>.0userId=<*> ,1
[SocketRead_<*>:<*>:<*>-<*>]broadcast(),and mReceivers <*>(android/null:<*>) ,11
at com.android.providers.telephony.TpProviderHw.query(TpProviderHw.java:<*>) ,2
INTENT_HW_REPAIR_HELPER send ,1
<*> <*> <*> ........ <*>,<*>-<*>,<*> <*> <*> ,2
GetAddrInfoHandler addr: uc.huawei.com {<*>, <*>, <*>} <*>.<*>.<*>.<*> ,10
Cache monitor msg as screen_off ,31
setKeyguardWallpaperAVGColor:<*> ,5
ImsServiceSubHandler : <*> <*> <*> <*> is <*> ,1
setUri uri=content://media/internal/audio/media/<*> ,1
ready=true,policy=<*>,wakefulness=<*>,wksummary=0x0,uasummary=0x0,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*> ,1
KGSvcFp startListeningForFingerprint() ,1
read from <*> <*> <*> ,3
<*> <*> <*> <*> <*> <*> <*> <*> = <*>, <*> = <*> ,1
setExcludeFromRecents:pkgName=null ,6
<*> <*> x_offset=<*>.<*>, y_offset=<*>.<*>, z_offset=<*>.<*> ,1
wlan0: Control interface command <*> ,16
<*> <*> <*> <*> <*> <*> <*> <*> = <*>, <*> = <*>, <*> = <*> ,3
wifi_send_command: cmd:'SAVE_CONFIG' ,1
showSoftInput() ,6
<<*>-<*>-<*> <*>:<*>:<*>> [NOTICE] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[NOTICE] magic[<*> <*>]:Set mode to <*> <*> <*> <*> ,4
<*>|calculateAltitudeWithCache totalAltitude=<*> ,12
<*> <*> <*> <*> <*> in the <*> <*> <*> ,1
<*> <*> <*> type = <*> ,1
0xc0, 0x2a, 0x7c, 0x3f ,1
[main-<*>]initTopActivityList.(hwouc/HwOucConfig.java:<*>) ,1
No config <*> <*> <*> ,2
hwpaysdk isLower ,1
gAndroid_jvm 0xea<*> ,1
[qiyi_LOG_INFO DownloadEpisodeAdapter] <*> <*> <*> ,13
handleANRFilterFIFO,uid = 10113cmd = <*> ,156
CtrlSocket processCtrlSocket pid = <*> cmd = <*> <*> = <*> ,1
handleTouchEvent:MotionEvent { action=ACTION_DOWN, actionButton=<*>, id[<*>]=<*>, x[<*>]=<*>.<*>, y[<*>]=<*>.<*>, toolType[<*>]=TOOL_TYPE_FINGER, buttonState=<*>, metaState=<*>, flags=0x0, edgeFlags=0x0, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=0x1002 } ,2
<*> <*> <*> type is <*> <*> ,3
QSEECom_send_cmd return! ,111
<*> <*> <*> <*> <*> <*> is not <*> ,8
InCallActivity - <*> <*> = null ,3
[PhoneIntfMgr] getDataEnabled: subId=<*> phoneId=<*> ,19
ProximitySensor - <*> <*> ,4
setMobileDataIndicatorsHuawei subId:<*> visible:true strengthIcon:<*> typeIcon:<*> contentDescription:手机信号满格。 typeContentDescription:4G isTypeIconWide:true showActivity:true activityIn:true activityOut:true isRoaming:false ,70
skip input. ,2
onNotificationVisibilityChanged called ,9
allowVideoCallsInLowBattery: false isCarrierOneSupported: false mIsLowbattery: false ,5
CtrlSocket Receiver,disable: false locked: <*> <*> <*> mSmartKeyguardLevel: normal_level mStartPowerSaving: false ,4
onUEvent fcpStatus = <*>,scpStatus =<*>,ovpStatus=<*> ,99
set notification panel padding = <*> ,73
BadgeContentObserver newBadgeNumber:<*>,oldBadgeNumber:<*> <*> <*> <*> ,3
IEs - hexdump(len=<*>): <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> 0b <*> <*> <*> <*> 6c <*> <*> ... ,1
total/<*>/<*>,android.uid.system:<*>/<*>/<*>,com.android.packageinstaller/<*>/<*>,unknown:<*>/<*>/<*>,com.android.browser/<*>/<*>,com.sankuai.meituan/<*>/<*> ,1
Launcher.LauncherProvider launcher call - method:setAppBadgeCount arg:null <*> uid =<*> pid =<*> ,3
sending alarm <*> type <*> when <*> com.tencent.mm},repeatInterval = <*>,listenerTag =null ,8
there are no wakeup alarms and the screen is off, we can delay what we have so far until the future ,2
Sending non-protected broadcast <*> from system uid <*> <*> <*> ,5
makeDefaultPlaylist ,1
proxyWakeLockByPidUid, pid: <*>, uid: <*>, proxy: false ,6
disable_audio_route: exit ,2
<*> <*> <*> #<*> A=com.tencent.mm U=<*> StackId=<*> sz=<*>}, <*> <*> #<*> A=com.tencent.mm U=<*> StackId=<*> sz=<*>}, <*> #<*> A=com.tencent.mm U=<*> StackId=<*> sz=<*>} ,1
LOAD QC_HUAWEI_ANTITHEFT_TA_PATH ,2
<*> <*> = false <*> <*> ,1
<*> <*> <*> <*> ws=null, uid=<*>, pid=<*> ,9
ImsServiceSub : broadcastVopsSsacIntent Vops = true , Ssac = false ,36
total/<*>/<*>,android.uid.system:<*>/<*>/<*>,com.sankuai.meituanhd/<*>/<*>,unknown:<*>/<*>/<*>,com.tencent.mm/<*>/<*> ,1
<*> <*> <*> <*> <*> <*> <*> <*> = <*>, <*> = false, <*> = false ,2
imeVis=false ,10
<*> change to <*> <*> ,2
stopScanAp mIsScaning = false ,4
<*> <*> <*> to true ,3
KGSvcCall onStartedWakingUp. ,5
<*> - <*> <*> <*> <*> <*> <*> <*> <*> <*> CAPABILITY_CANNOT_DOWNGRADE_VIDEO_TO_AUDIO], children:[], parent:null, conferenceable:[], videoState:Audio Only, <*> <*> <*> ,1
<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>} <*> <*> <*> ,1
<*> mReceivers <*>(android/null:<*>) ,6
void android::HwAlgorithmicInformation::setSmartAeInfo(int, <*> <*> <*> = <*>, <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,3
mIntentReceiver-ACTION_SCREEN_OFF ,7
myUser=0currentUser=<*> ,1
huawei_antiTheft_manager_init succeed ,3
<*> <*> <*> <*> <*> <*> triggerAtTime=<*> win=<*> tElapsed=<*> maxElapsed=<*> interval=<*> flags=0x<*> ,2
wsr ,1
WPS: attr type=0x1044 len=<*> ,40
tcp.recv{<*>} TcpSocket.close(TcpSocket.java:<*>) shutdown <*> java.net.SocketException: Socket is closed ,2
TafficState:default sub id = 0slotIndex = <*> subscriptionId = <*> ,5
<*> <*> <*> <*> when=<*> what=<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,1
fpc_get_authenticator_id ,3
notifyUiVisibilityChanged:vis=0x40000700, SystemUiVisibility=0x<*> ,1
<*> : com.baidu.input_huawei found in app ,1
CommonMethodUtil:No package name to uid:-<*> ,2
java.lang.reflect.InvocationTargetException ,3
key:encryptType value:<*> ,1
<*> <*> V.ED..... ......ID <*>,<*>-<*>,<*> #7f14032f app:id/hw_notification_number} ,2
Apply window Height <*> ,10
LightSensor, <*> <*> <*> ,1
OverscanTimeout run ,9
retrieveServiceLocked, callerApp: ProcessRecord{34bf34f <*>:system/<*>}, flags: <*> ,59
<*> <*> <*> id <*> ,1
wifi_connect_on_socket_path: path:@android:wpa_wlan<*> ,1
<<*>-<*>-<*> <*>:<*>:<*>> [NOTICE] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[NOTICE] magic[<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,2
<*> <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*>.<*>/<*>, <*> ,9
<*> called by <*> ,1
Multiple rapid taps detecting, aborting Knuckle Gestures. ,16
<*> <*> <*> = <*> <*> <*> <*> <*> ,1
PermissionDbVisitor:insertHistoryRecord:HistoryRecord[packageName:com.sankuai.meituanhd,permissionType:<*>,action:<*>,dateStartTime:<*>,timestamp:<*>] ,93
<*> <*> <*> <*> <*> java.net.SocketException: Socket <*> ,3
<*> <*> <*> <*> = false, <*> <*> <*> <*> = <*>, <*> = <*>, <*> = <*>, <*> = <*>, <*> = <*> ,1
at org.apache.http.impl.conn.DefaultClientConnectionOperator.openConnection(DefaultClientConnectionOperator.java:<*>) ,2
EventHub monitor: no key events in the past <*> ,9
PermissionDbVisitor:insertHistoryRecord:HistoryRecord[packageName:huawei.w3,permissionType:<*>,action:<*>,dateStartTime:<*>,timestamp:<*>] ,1
<<*>-<*>-<*> <*>:<*>:<*>> [NOTICE] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[NOTICE] magic[<*> <*>]:waiting for useful network.......... ,15
CTRL-DEBUG: ctrl_sock-sendmsg: sock=<*> sndbuf=<*> outq=<*> send_len=<*> ,17
csr ,232
triggeredJoin: <*> ,1
<*> <*> <*> <*> <*> , <*> <*> <*> <*> ,1
<*> ordered <*> <*> <*> <*> prev had <*> ,1
<*> <*> = <*> <*> <*> ,1
[qiyi_LOG_INFO DownloadEpisodeAdapter] <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,5
write:userId=<*>,mPosBrightness =<*>.<*>,mOffsetBrightness_last=<*>.<*>,mIsUserChange=false,mDeltaNew=<*>.<*>,mStartLuxDefaultBrightness=<*>.12mLastLuxDefaultBrightness=<*>.<*>,mAmLux=<*>.<*> ,1
at com.baidu.location.g.a.b(Unknown) ,4
unproxy app:com.android.browser,uid:<*>,result:true ,4
<*> <*> <*> <*> <*> #<*> A=com.huawei.android.launcher U=<*> StackId=<*> sz=<*>} ,1
release:lock=<*>, flg=0x0, tag="eventloop", name=android", ws=null, uid=<*>, pid=<*> ,15
<<*>-<*>-<*> <*>:<*>:<*>> [NOTICE] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[NOTICE] magic[<*> <*> <*> <*> <*> <*> <*> ,48
PowerManagerNotifier onUserActivity: event=<*>, uid=<*> ,145
refreshState=location, BooleanState[,icon=ResourceIcon[resId=0x7f020218],label=位置信息,labelTint=<*>,textChangedDelay=<*>,contentDescription=位置报告功能开启。,dualLabelContentDescription=null,minimalContentDescription=null,minimalAccessibilityClassName=android.widget.Switch,expandedAccessibilityClassName=android.widget.Switch,autoMirrorDrawable=false,disabledByPolicy=false,enforcedAdmin=null,value=true] ,2
DisplayPowerController updatePowerState <*> <*> useProximitySensorbyPhone=true, screenBrightness=<*>, screenAutoBrightnessAdjustment=<*>.<*>, brightnessSetByUser=true, useAutoBrightness=true, blockScreenOn=false, lowPowerMode=false, boostScreenBrightness=false, dozeScreenBrightness=<*>, dozeScreenState=UNKNOWN, useTwilight=false, useSmartBacklight=true, brightnessWaitMode=false, brightnessWaitRet=true, screenAutoBrightness=<*>, userId=<*> ,6
<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ,16
action:com.huawei.android.intent.action.RAC_CHANGED, mPermissionType:<*> ,49
at com.baidu.location.e.a.<init>(Unknown) ,1
<*> freq=<*> qual=<*> noise=<*>~ level=<*> snr=<*> flags=0xb age=<*> est=<*> ,21
<<*>-<*>-<*> <*>:<*>:<*>> [NOTICE] SDK: UE-SeC <*>-<*>-<*> <*>:<*>:<*>:<*> Level[NOTICE] magic[<*> <*>]:ReadSdkGroupItem: Succeed in <*> <*> <*> <*> ,4
uploadLocationAction:actionType:0actionMsg:PROVIDER:all,PN:com.sankuai.meituanhd,HC:99791f<*> ,1
<*> <*> <*> = <*>, tx = <*> ,1
